role,variant,split,n_rows,n_positive,positive_rate,n_players
bullpen,baseline,train,74686,1508,0.02019120049272956,1398
bullpen,baseline,val,27714,653,0.02356209857833586,841
bullpen,baseline,test,28108,668,0.02376547602106162,813
bullpen,cc3,train,6032,1508,0.25,931
bullpen,cc3,val,27714,653,0.02356209857833586,841
bullpen,cc3,test,28108,668,0.02376547602106162,813
bullpen,cc5,train,9048,1508,0.16666666666666666,1057
bullpen,cc5,val,27714,653,0.02356209857833586,841
bullpen,cc5,test,28108,668,0.02376547602106162,813
bullpen,cc3_capped3,train,5405,1508,0.2790009250693802,1398
bullpen,cc3_capped3,val,27714,653,0.02356209857833586,841
bullpen,cc3_capped3,test,28108,668,0.02376547602106162,813
starter,baseline,train,22356,612,0.027375201288244767,769
starter,baseline,val,8418,244,0.028985507246376812,492
starter,baseline,test,8574,292,0.034056449731747145,497
starter,cc3,train,2448,612,0.25,482
starter,cc3,val,8418,244,0.028985507246376812,492
starter,cc3,test,8574,292,0.034056449731747145,497
starter,cc5,train,3672,612,0.16666666666666666,539
starter,cc5,val,8418,244,0.028985507246376812,492
starter,cc5,test,8574,292,0.034056449731747145,497
starter,cc3_capped3,train,2448,612,0.25,760
starter,cc3_capped3,val,8418,244,0.028985507246376812,492
starter,cc3_capped3,test,8574,292,0.034056449731747145,497
