role,feature_set,split,threshold_type,threshold,n_features,accuracy,roc_auc,pr_auc,f1,precision,recall,mcc,brier,predicted_positive_rate
bullpen,history_only,val,0.5,0.5,37,0.6331817853792308,0.5704929416740003,0.04054700845870743,0.05625696249535834,0.029943670323154464,0.46401225114854516,0.03190601168250293,0.25193455815315247,0.3651223208486685
bullpen,history_only,val,validation_selected,0.6458432674407959,37,0.9470664646027278,0.5704929416740003,0.04054700845870743,0.07327858496525584,0.06236559139784946,0.0888208269525268,0.047670013726737286,0.25193455815315247,0.03355704697986577
bullpen,history_only,test,0.5,0.5,37,0.6001138465917176,0.5647619029433844,0.030851926761744215,0.060043485532697775,0.03179805137289637,0.5374251497005988,0.04320801004768171,0.257262647151947,0.40166500640387076
bullpen,history_only,test,validation_selected,0.6458432674407959,37,0.9565604098477302,0.5647619029433844,0.030851926761744215,0.030182684670373314,0.032148900169204735,0.02844311377245509,0.008066112926698883,0.257262647151947,0.021026042407855414
bullpen,base_plus_history,val,0.5,0.5,82,0.6479757523273436,0.5780510177420611,0.032697983526594324,0.06174264281592614,0.03293996921498204,0.49157733537519144,0.04553065586125845,0.23652908205986023,0.35162733636429244
bullpen,base_plus_history,val,validation_selected,0.5490509271621704,82,0.8078227610593923,0.5780510177420611,0.032697983526594324,0.06430077301475755,0.03631672950982338,0.28024502297090353,0.03964031792997409,0.23652908205986023,0.18182146207692862
bullpen,base_plus_history,test,0.5,0.5,82,0.6620179308381955,0.5699172445924477,0.03290959159506614,0.0608936338473705,0.03259949195596952,0.46107784431137727,0.04126881142401784,0.2359216809272766,0.3361320620463925
bullpen,base_plus_history,test,validation_selected,0.5490509271621704,82,0.8108723495090365,0.5699172445924477,0.03290959159506614,0.0614406779661017,0.03482786228983187,0.26047904191616766,0.03376687960260884,0.2359216809272766,0.17774299131919738
starter,history_only,val,0.5,0.5,32,0.7021857923497268,0.5428557962672529,0.0465136338834148,0.06559821095788297,0.03608036080360803,0.36065573770491804,0.027010445712063427,0.24288448691368103,0.289736279401283
starter,history_only,val,validation_selected,0.514988362789154,32,0.855191256830601,0.5428557962672529,0.0465136338834148,0.09368029739776952,0.05722070844686648,0.2581967213114754,0.0652851957054931,0.24288448691368103,0.1307911617961511
starter,history_only,test,0.5,0.5,32,0.6971075344063448,0.45444320576394426,0.03368768543221169,0.060079623597538906,0.03358963982193444,0.2842465753424658,-0.0016376805649918635,0.24469326436519623,0.288196874271052
starter,history_only,test,validation_selected,0.514988362789154,32,0.8518777700023327,0.45444320576394426,0.03368768543221169,0.060650887573964495,0.038679245283018866,0.1404109589041096,0.009572964850561035,0.24469326436519623,0.12362957779332867
starter,base_plus_history,val,0.5,0.5,76,0.7662152530292231,0.546806748306305,0.04753712786703691,0.05927342256214149,0.03354978354978355,0.2540983606557377,0.01442902271967394,0.18550623953342438,0.2195295794725588
starter,base_plus_history,val,validation_selected,0.5128561854362488,76,0.8038726538370159,0.546806748306305,0.04753712786703691,0.06670435274166196,0.038688524590163934,0.24180327868852458,0.027204094939252178,0.18550623953342438,0.18115942028985507
starter,base_plus_history,test,0.5,0.5,76,0.7728014928854677,0.524389003384134,0.03653106395202396,0.06525911708253358,0.03794642857142857,0.2328767123287671,0.011024573296742918,0.18714691698551178,0.20900396547702357
starter,base_plus_history,test,validation_selected,0.5128561854362488,76,0.810706787963611,0.524389003384134,0.03653106395202396,0.06239168110918544,0.037526059763724806,0.18493150684931506,0.008590897026582807,0.18714691698551178,0.16783298343830183
