role,stage_order,stage,split,threshold_type,threshold,n_features_raw,n_features_encoded,best_iteration,accuracy,roc_auc,pr_auc,f1,precision,recall,mcc,brier,predicted_positive_rate
bullpen,1,A_demographics_workload,val,0.5,0.5,11,39,1,0.6136609655769647,0.5348111489707361,0.028497050534293446,0.04953395472703063,0.026290991330569165,0.42725880551301687,0.014172039001000789,0.24719136953353882,0.3829111640326189
bullpen,1,A_demographics_workload,val,validation_selected,0.5039858818054199,11,39,1,0.9148805657790287,0.5348111489707361,0.028497050534293446,0.06795732911892532,0.04579339723109691,0.13169984686064318,0.039515791963233536,0.24719136953353882,0.06776358519159992
bullpen,1,A_demographics_workload,test,0.5,0.5,11,39,1,0.5962003700014231,0.5347739106335435,0.02840665331246296,0.054009001500250044,0.028596646072374228,0.48502994011976047,0.02606434673295313,0.2478245496749878,0.4030880888003415
bullpen,1,A_demographics_workload,test,validation_selected,0.5039858818054199,11,39,1,0.9123025473174897,0.5347739106335435,0.02840665331246296,0.050827878321139774,0.03421461897356143,0.09880239520958084,0.018621725396879313,0.2478245496749878,0.06862814856980219
bullpen,2,B_plus_injury_history,val,0.5,0.5,17,45,6,0.7256621202280436,0.5364161666855207,0.030354133569283334,0.04783969943644333,0.026050190943807967,0.29249617151607965,0.009838412545779312,0.23238246142864227,0.26455942844771596
bullpen,2,B_plus_injury_history,val,validation_selected,0.522710382938385,17,45,6,0.8889730821967237,0.5364161666855207,0.030354133569283334,0.05700275819797732,0.035632183908045977,0.14241960183767227,0.025658415420270184,0.23238246142864227,0.09417622862091361
bullpen,2,B_plus_injury_history,test,0.5,0.5,17,45,6,0.7187989184573786,0.543174083683944,0.03045663366188641,0.056126104609505616,0.030495717622631716,0.35179640718562877,0.02715554014043477,0.2327820211648941,0.2741568236800911
bullpen,2,B_plus_injury_history,test,validation_selected,0.522710382938385,17,45,6,0.8911341966699872,0.543174083683944,0.03045663366188641,0.06593406593406594,0.04141104294478527,0.16167664670658682,0.03704835927222565,0.2327820211648941,0.09278497224989327
bullpen,3,C_plus_absolute_statcast,val,0.5,0.5,64,82,33,0.8256837699357725,0.5784162240682146,0.03537219127903382,0.0650280627056319,0.03721754541426672,0.2572741194486983,0.039711235770487324,0.17626403272151947,0.1628779678141012
bullpen,3,C_plus_absolute_statcast,val,validation_selected,0.5758480429649353,64,82,33,0.9453705708306271,0.5784162240682146,0.03537219127903382,0.08242424242424243,0.06820461384152457,0.10413476263399694,0.05685557958193611,0.17626403272151947,0.0359745976762647
bullpen,3,C_plus_absolute_statcast,test,0.5,0.5,64,82,33,0.8303330012807741,0.5522715865644804,0.027005348926908604,0.049810719266786214,0.02872902780969892,0.18712574850299402,0.013945720617479248,0.17723910510540009,0.15479578767610644
bullpen,3,C_plus_absolute_statcast,test,validation_selected,0.5758480429649353,64,82,33,0.9449267112565818,0.5522715865644804,0.027005348926908604,0.0325,0.027896995708154508,0.038922155688622756,0.005023132983405825,0.17723910510540009,0.03315781983776861
bullpen,4,D_plus_personal_delta,val,0.5,0.5,111,129,9,0.833874576026557,0.5336756337406392,0.03003267690973703,0.0553959786622897,0.031982942430703626,0.20673813169984687,0.0235323203774229,0.20820675790309906,0.15230569387313272
bullpen,4,D_plus_personal_delta,val,validation_selected,0.48928582668304443,111,129,9,0.7788121527026052,0.5336756337406392,0.03003267690973703,0.05866093366093366,0.03259941969619389,0.29249617151607965,0.030849402650503843,0.20820675790309906,0.21140939597315436
bullpen,4,D_plus_personal_delta,test,0.5,0.5,111,129,9,0.841433043973246,0.5140773664042179,0.024363060458667485,0.039646627881922,0.023156305059149257,0.1377245508982036,-0.0016226486178366906,0.20687581598758698,0.1413476590294578
