role,variant,split,threshold,unique_events,detected_events,event_detection_rate,median_lead_days
bullpen,cc3,val,0.35824358463287354,154,30,0.19480519480519481,11.0
bullpen,cc3,test,0.35824358463287354,157,16,0.10191082802547771,9.5
bullpen,cc5,val,0.22153609991073608,154,30,0.19480519480519481,12.0
bullpen,cc5,test,0.22153609991073608,157,18,0.11464968152866242,11.0
bullpen,cc3_capped3,val,0.3987090289592743,154,13,0.08441558441558442,11.0
bullpen,cc3_capped3,test,0.3987090289592743,157,3,0.01910828025477707,3.0
starter,cc3,val,0.3481304943561554,105,22,0.20952380952380953,11.0
starter,cc3,test,0.3481304943561554,121,23,0.19008264462809918,11.0
starter,cc5,val,0.1734371781349182,105,72,0.6857142857142857,12.0
starter,cc5,test,0.1734371781349182,121,89,0.7355371900826446,11.0
starter,cc3_capped3,val,0.17095611989498138,105,104,0.9904761904761905,12.0
starter,cc3_capped3,test,0.17095611989498138,121,118,0.9752066115702479,12.0
