role,variant,split,threshold,unique_events,detected_events,event_detection_rate,median_lead_days
bullpen,baseline,val,0.5205001831054688,154,51,0.33116883116883117,12.0
bullpen,baseline,test,0.5205001831054688,157,29,0.18471337579617833,11.0
bullpen,cc3,val,0.5535634756088257,154,29,0.18831168831168832,12.0
bullpen,cc3,test,0.5535634756088257,157,15,0.09554140127388536,11.0
bullpen,cc5,val,0.5255538821220398,154,30,0.19480519480519481,12.0
bullpen,cc5,test,0.5255538821220398,157,20,0.12738853503184713,11.5
bullpen,cc3_capped3,val,0.5802756547927856,154,86,0.5584415584415584,12.0
bullpen,cc3_capped3,test,0.5802756547927856,157,90,0.5732484076433121,12.0
starter,baseline,val,0.534063994884491,105,28,0.26666666666666666,11.5
starter,baseline,test,0.534063994884491,121,35,0.2892561983471074,8.0
starter,cc3,val,0.5549464225769043,105,17,0.1619047619047619,10.0
starter,cc3,test,0.5549464225769043,121,17,0.14049586776859505,10.0
starter,cc5,val,0.5686012506484985,105,16,0.1523809523809524,12.0
starter,cc5,test,0.5686012506484985,121,19,0.15702479338842976,12.0
starter,cc3_capped3,val,0.45147696137428284,105,105,1.0,12.0
starter,cc3_capped3,test,0.45147696137428284,121,119,0.9834710743801653,12.0
