role,variant,model,imbalance_method,split,threshold_type,threshold,n_rows,positive_rate,accuracy,roc_auc,pr_auc,f1,precision,recall,mcc,brier,predicted_positive_rate
bullpen,baseline,XGBoost,weighted,val,0.5,0.5,27714,0.02356209857833586,0.5844699429891029,0.548473917443507,0.03247764081240173,0.05155658046450338,0.027243450256767342,0.4793261868300153,0.020423340160362836,0.23664547502994537,0.41455582016309445
bullpen,baseline,XGBoost,weighted,val,validation_selected,0.5205001831054688,27714,0.02356209857833586,0.8389622573428592,0.548473917443507,0.03247764081240173,0.06651328174022171,0.038517441860465115,0.2434915773353752,0.041248654309743844,0.23664547502994537,0.14894998917514612
bullpen,baseline,XGBoost,weighted,test,0.5,0.5,28108,0.02376547602106162,0.602212893126512,0.5196642156648801,0.026025924064719957,0.048506510084248146,0.02571505909952179,0.42664670658682635,0.010327055550234984,0.2357807457447052,0.3943005550021346
bullpen,baseline,XGBoost,weighted,test,validation_selected,0.5205001831054688,28108,0.02376547602106162,0.855308097338836,0.5196642156648801,0.026025924064719957,0.044632370213765565,0.026469768737809974,0.14221556886227546,0.0067926417632927765,0.2357807457447052,0.12768606802333854
bullpen,cc3,XGBoost,weighted,val,0.5,0.5,27714,0.02356209857833586,0.7671934762214043,0.5399866831405176,0.03472697890434459,0.06111757857974389,0.03376748673420164,0.3215926493108729,0.03619026661065456,0.21144644916057587,0.22439922061052175
bullpen,cc3,XGBoost,weighted,val,validation_selected,0.5535634756088257,27714,0.02356209857833586,0.9327415746554089,0.5399866831405176,0.03472697890434459,0.07631318136769079,0.05641025641025641,0.11791730474732007,0.04929081250423157,0.21144644916057587,0.049253085083351376
bullpen,cc3,XGBoost,weighted,test,0.5,0.5,28108,0.02376547602106162,0.7749039419382382,0.5465430563799515,0.028096083435447096,0.05042773525438991,0.028023352793994996,0.25149700598802394,0.014555043550845005,0.21139772236347198,0.2132844741710545
bullpen,cc3,XGBoost,weighted,test,validation_selected,0.5535634756088257,28108,0.02376547602106162,0.9328305108865803,0.5465430563799515,0.028096083435447096,0.044534412955465584,0.03363914373088685,0.0658682634730539,0.014320713040265632,0.21139772236347198,0.04653479436459371
bullpen,cc5,XGBoost,weighted,val,0.5,0.5,27714,0.02356209857833586,0.6767698636068413,0.5460187417310775,0.03243325729200194,0.054664415365132966,0.029355094639011675,0.39663093415007655,0.02610084695471352,0.2351914346218109,0.31835895215414595
bullpen,cc5,XGBoost,weighted,val,validation_selected,0.5255538821220398,27714,0.02356209857833586,0.9181280219383705,0.5460187417310775,0.03243325729200194,0.07501019160211986,0.051111111111111114,0.14088820826952528,0.04786805300926883,0.2351914346218109,0.06494912318683697
bullpen,cc5,XGBoost,weighted,test,0.5,0.5,28108,0.02376547602106162,0.6914757364451402,0.5327293845254099,0.0279317833814186,0.050788091068301226,0.0273972602739726,0.3473053892215569,0.015656309004681696,0.23478581011295319,0.30126654333285896
bullpen,cc5,XGBoost,weighted,test,validation_selected,0.5255538821220398,28108,0.02376547602106162,0.9169275651060197,0.5327293845254099,0.0279317833814186,0.03948992184286302,0.027226318774815655,0.0718562874251497,0.005877715784203086,0.23478581011295319,0.06272235662444856
bullpen,cc3_capped3,XGBoost,weighted,val,0.5,0.5,27714,0.02356209857833586,0.30060619181641046,0.5226148082549363,0.03507350187930776,0.04840689282733566,0.02500507202272266,0.7549770290964778,0.014936462225208839,0.30254000425338745,0.7114093959731543
bullpen,cc3_capped3,XGBoost,weighted,val,validation_selected,0.5802756547927856,27714,0.02356209857833586,0.5455365519232157,0.5226148082549363,0.03507350187930776,0.04993588292977295,0.026261504284354174,0.5068912710566615,0.016254021429560804,0.30254000425338745,0.4547881936927185
bullpen,cc3_capped3,XGBoost,weighted,test,0.5,0.5,28108,0.02376547602106162,0.263697168066031,0.5154218349016253,0.02613175805784121,0.046706586826347304,0.02409466780724266,0.7589820359281437,0.003729540624163447,0.3160194754600525,0.748612494663441
bullpen,cc3_capped3,XGBoost,weighted,test,validation_selected,0.5802756547927856,28108,0.02376547602106162,0.4992173046819411,0.5154218349016253,0.02613175805784121,0.049561107359891964,0.025951067741479282,0.5494011976047904,0.014439032518956797,0.3160194754600525,0.5031307812722356
starter,baseline,XGBoost,weighted,val,0.5,0.5,8418,0.028985507246376812,0.7386552625326681,0.5707691721451864,0.05129133048869648,0.06542056074766354,0.036492890995260666,0.3155737704918033,0.025880978548390582,0.19224980473518372,0.2506533618436683
starter,baseline,XGBoost,weighted,val,validation_selected,0.534063994884491,8418,0.028985507246376812,0.8342836778332146,0.5707691721451864,0.05129133048869648,0.07554671968190854,0.045059288537549404,0.2336065573770492,0.04029172828753134,0.19224980473518372,0.15027322404371585
starter,baseline,XGBoost,weighted,test,0.5,0.5,8574,0.034056449731747145,0.7063214369022627,0.5138559692086817,0.034926961712196836,0.0674074074074074,0.0377906976744186,0.3116438356164384,0.012866311801597037,0.20101970434188843,0.2808490786097504
starter,baseline,XGBoost,weighted,test,validation_selected,0.534063994884491,8574,0.034056449731747145,0.8021926755306741,0.5138559692086817,0.034926961712196836,0.0640176600441501,0.038157894736842106,0.19863013698630136,0.01049700488451106,0.20101970434188843,0.17728014928854677
starter,cc3,XGBoost,weighted,val,0.5,0.5,8418,0.028985507246376812,0.5754335946780708,0.5677004155519099,0.0501625602949092,0.06684073107049608,0.03569436698271054,0.5245901639344263,0.03444983002438591,0.24247600138187408,0.425991922071751
starter,cc3,XGBoost,weighted,val,validation_selected,0.5549464225769043,8418,0.028985507246376812,0.9201710620099787,0.5677004155519099,0.0501625602949092,0.07945205479452055,0.059670781893004114,0.11885245901639344,0.04527448179895078,0.24247600138187408,0.05773342836778332
starter,cc3,XGBoost,weighted,test,0.5,0.5,8574,0.034056449731747145,0.49510146955913226,0.5748125576841012,0.039541730405494,0.07638148069127373,0.040728100113765646,0.613013698630137,0.037722544033798336,0.2520884871482849,0.5125962211336599
starter,cc3,XGBoost,weighted,test,validation_selected,0.5549464225769043,8574,0.034056449731747145,0.863890832750175,0.5748125576841012,0.039541730405494,0.044226044226044224,0.02906350914962325,0.09246575342465753,-0.009596214573095105,0.2520884871482849,0.10835082808490785
starter,cc5,XGBoost,weighted,val,0.5,0.5,8418,0.028985507246376812,0.5797101449275363,0.5746288712310524,0.04450870207433243,0.06550449022715267,0.03500846979107849,0.5081967213114754,0.03059843989464647,0.22848691046237946,0.4207650273224044
starter,cc5,XGBoost,weighted,val,validation_selected,0.5686012506484985,8418,0.028985507246376812,0.918151579947731,0.5746288712310524,0.04450870207433243,0.08255659121171771,0.0611439842209073,0.12704918032786885,0.048526665662985254,0.22848691046237946,0.06022808267997149
starter,cc5,XGBoost,weighted,test,0.5,0.5,8574,0.034056449731747145,0.5100303242360625,0.5387473825063762,0.03649596140814403,0.0720123702231058,0.0384887839433294,0.5582191780821918,0.02414286593326245,0.24310573935508728,0.4939351527874971
starter,cc5,XGBoost,weighted,test,validation_selected,0.5686012506484985,8574,0.034056449731747145,0.874037788663401,0.5387473825063762,0.03649596140814403,0.06086956521739131,0.04079254079254079,0.11986301369863013,0.012384541257394261,0.24310573935508728,0.1000699790062981
starter,cc3_capped3,XGBoost,weighted,val,0.5,0.5,8418,0.028985507246376812,0.3822760750772155,0.45800208177066826,0.03975236429069813,0.04727006229388054,0.02474108170310702,0.5286885245901639,-0.03227415428187861,0.2521907091140747,0.6193870277975766
starter,cc3_capped3,XGBoost,weighted,val,validation_selected,0.45147696137428284,8418,0.028985507246376812,0.035162746495604656,0.45800208177066826,0.03975236429069813,0.056678281068524974,0.02916567057136027,1.0,0.013621355831357422,0.2521907091140747,0.9938227607507721
starter,cc3_capped3,XGBoost,weighted,test,0.5,0.5,8574,0.034056449731747145,0.2965943550268253,0.4769267730314628,0.031797447592487996,0.06539593987292731,0.03424768706378835,0.7226027397260274,0.001684783342643102,0.2560309171676636,0.718567763004432
starter,cc3_capped3,XGBoost,weighted,test,validation_selected,0.45147696137428284,8574,0.034056449731747145,0.03755540004665267,0.4769267730314628,0.031797447592487996,0.06567028985507246,0.03395784543325527,0.9931506849315068,-0.008616080836799538,0.2560309171676636,0.9960345229764404
