role,variant,split,top_fraction,alerts,detected_rows,recall_at_top,precision_at_top
bullpen,cc3,val,0.05,1386,72,0.11026033690658499,0.05194805194805195
bullpen,cc3,val,0.1,2772,117,0.17917304747320062,0.04220779220779221
bullpen,cc3,test,0.05,1406,45,0.06736526946107785,0.032005689900426744
bullpen,cc3,test,0.1,2811,79,0.11826347305389222,0.028103877623621487
bullpen,cc5,val,0.05,1386,59,0.0903522205206738,0.04256854256854257
bullpen,cc5,val,0.1,2772,101,0.1546707503828484,0.03643578643578643
bullpen,cc5,test,0.05,1406,39,0.058383233532934134,0.027738264580369845
bullpen,cc5,test,0.1,2811,57,0.08532934131736528,0.020277481323372464
bullpen,cc3_capped3,val,0.05,1386,51,0.0781010719754977,0.0367965367965368
bullpen,cc3_capped3,val,0.1,2772,96,0.14701378254211334,0.03463203463203463
bullpen,cc3_capped3,test,0.05,1406,28,0.041916167664670656,0.01991465149359886
bullpen,cc3_capped3,test,0.1,2811,47,0.07035928143712575,0.01672002845962291
starter,cc3,val,0.05,421,16,0.06557377049180328,0.03800475059382423
starter,cc3,val,0.1,842,39,0.1598360655737705,0.04631828978622328
starter,cc3,test,0.05,429,17,0.05821917808219178,0.039627039627039624
starter,cc3,test,0.1,858,29,0.09931506849315068,0.0337995337995338
starter,cc5,val,0.05,421,17,0.06967213114754098,0.040380047505938245
starter,cc5,val,0.1,842,32,0.13114754098360656,0.03800475059382423
starter,cc5,test,0.05,429,6,0.02054794520547945,0.013986013986013986
starter,cc5,test,0.1,858,28,0.0958904109589041,0.03263403263403263
starter,cc3_capped3,val,0.05,421,9,0.036885245901639344,0.021377672209026127
starter,cc3_capped3,val,0.1,842,15,0.06147540983606557,0.017814726840855107
starter,cc3_capped3,test,0.05,429,11,0.03767123287671233,0.02564102564102564
starter,cc3_capped3,test,0.1,858,21,0.07191780821917808,0.024475524475524476
