role,variant,split,top_fraction,alerts,detected_rows,recall_at_top,precision_at_top
bullpen,baseline,val,0.05,1386,53,0.08116385911179173,0.03823953823953824
bullpen,baseline,val,0.1,2772,99,0.15160796324655437,0.03571428571428571
bullpen,baseline,test,0.05,1406,44,0.0658682634730539,0.031294452347083924
bullpen,baseline,test,0.1,2811,81,0.12125748502994012,0.0288153681963714
bullpen,cc3,val,0.05,1386,77,0.11791730474732007,0.05555555555555555
bullpen,cc3,val,0.1,2772,114,0.17457886676875958,0.04112554112554113
bullpen,cc3,test,0.05,1406,44,0.0658682634730539,0.031294452347083924
bullpen,cc3,test,0.1,2811,87,0.13023952095808383,0.030949839914621132
bullpen,cc5,val,0.05,1386,74,0.11332312404287902,0.05339105339105339
bullpen,cc5,val,0.1,2772,112,0.17151607963246554,0.04040404040404041
bullpen,cc5,test,0.05,1406,42,0.06287425149700598,0.029871977240398292
bullpen,cc5,test,0.1,2811,77,0.11526946107784432,0.027392387050871575
bullpen,cc3_capped3,val,0.05,1386,34,0.05206738131699847,0.024531024531024532
bullpen,cc3_capped3,val,0.1,2772,62,0.09494640122511486,0.022366522366522368
bullpen,cc3_capped3,test,0.05,1406,37,0.05538922155688623,0.02631578947368421
bullpen,cc3_capped3,test,0.1,2811,64,0.09580838323353294,0.022767698327997153
starter,baseline,val,0.05,421,21,0.0860655737704918,0.0498812351543943
starter,baseline,val,0.1,842,38,0.1557377049180328,0.04513064133016627
starter,baseline,test,0.05,429,13,0.04452054794520548,0.030303030303030304
starter,baseline,test,0.1,858,28,0.0958904109589041,0.03263403263403263
starter,cc3,val,0.05,421,24,0.09836065573770492,0.057007125890736345
starter,cc3,val,0.1,842,39,0.1598360655737705,0.04631828978622328
starter,cc3,test,0.05,429,10,0.03424657534246575,0.023310023310023312
starter,cc3,test,0.1,858,21,0.07191780821917808,0.024475524475524476
starter,cc5,val,0.05,421,23,0.0942622950819672,0.05463182897862233
starter,cc5,val,0.1,842,41,0.1680327868852459,0.048693586698337295
starter,cc5,test,0.05,429,8,0.0273972602739726,0.018648018648018648
starter,cc5,test,0.1,858,35,0.11986301369863013,0.04079254079254079
starter,cc3_capped3,val,0.05,421,16,0.06557377049180328,0.03800475059382423
starter,cc3_capped3,val,0.1,842,24,0.09836065573770492,0.028503562945368172
starter,cc3_capped3,test,0.05,429,9,0.030821917808219176,0.02097902097902098
starter,cc3_capped3,test,0.1,858,25,0.08561643835616438,0.029137529137529136
