role,variant,imbalance_method,trial,val_pr_auc,best_iteration,subsample,reg_lambda,min_child_weight,max_depth,learning_rate,colsample_bytree
bullpen,cc3,unweighted,1,0.029532397897786933,39,1.0,2.0,7,5,0.1,0.65
bullpen,cc3,unweighted,2,0.031038338304057066,101,0.8,5.0,7,4,0.04,0.8
bullpen,cc3,unweighted,3,0.029755721131565337,85,1.0,0.5,5,6,0.02,0.8
bullpen,cc3,unweighted,4,0.029419659984668355,5,0.65,1.0,7,5,0.02,0.8
bullpen,cc3,unweighted,5,0.032087133732186524,58,0.65,2.0,1,8,0.06,0.8
bullpen,cc3,unweighted,6,0.02778941095694748,3,0.65,5.0,1,3,0.04,1.0
bullpen,cc5,unweighted,1,0.030824647548249016,54,1.0,2.0,7,5,0.1,0.65
bullpen,cc5,unweighted,2,0.029668414742246962,127,0.8,5.0,7,4,0.04,0.8
bullpen,cc5,unweighted,3,0.02867301011991691,56,1.0,0.5,5,6,0.02,0.8
bullpen,cc5,unweighted,4,0.030213515558728102,101,0.65,1.0,7,5,0.02,0.8
bullpen,cc5,unweighted,5,0.030625460753243267,78,0.65,2.0,1,8,0.06,0.8
bullpen,cc5,unweighted,6,0.030918202615493787,71,0.65,5.0,1,3,0.04,1.0
bullpen,cc3_capped3,unweighted,1,0.03402668513642139,4,1.0,2.0,7,5,0.1,0.65
bullpen,cc3_capped3,unweighted,2,0.029521408802968323,33,0.8,5.0,7,4,0.04,0.8
bullpen,cc3_capped3,unweighted,3,0.03209194240011432,13,1.0,0.5,5,6,0.02,0.8
bullpen,cc3_capped3,unweighted,4,0.030821325183580772,9,0.65,1.0,7,5,0.02,0.8
bullpen,cc3_capped3,unweighted,5,0.029974953740608674,72,0.65,2.0,1,8,0.06,0.8
bullpen,cc3_capped3,unweighted,6,0.03182231251371777,151,0.65,5.0,1,3,0.04,1.0
starter,cc3,unweighted,1,0.04073198456160153,1,1.0,2.0,7,5,0.1,0.65
starter,cc3,unweighted,2,0.04362014940313155,15,0.8,5.0,7,4,0.04,0.8
starter,cc3,unweighted,3,0.042359044520060785,56,1.0,0.5,5,6,0.02,0.8
starter,cc3,unweighted,4,0.040964009792446215,1,0.65,1.0,7,5,0.02,0.8
starter,cc3,unweighted,5,0.045037415679498496,47,0.65,2.0,1,8,0.06,0.8
starter,cc3,unweighted,6,0.041357459265746965,7,0.65,5.0,1,3,0.04,1.0
starter,cc5,unweighted,1,0.03988884836180791,1,1.0,2.0,7,5,0.1,0.65
starter,cc5,unweighted,2,0.041601271061403836,2,0.8,5.0,7,4,0.04,0.8
starter,cc5,unweighted,3,0.047025995126197165,68,1.0,0.5,5,6,0.02,0.8
starter,cc5,unweighted,4,0.03617661690746993,86,0.65,1.0,7,5,0.02,0.8
starter,cc5,unweighted,5,0.03486939387702967,30,0.65,2.0,1,8,0.06,0.8
starter,cc5,unweighted,6,0.03512233284073565,30,0.65,5.0,1,3,0.04,1.0
starter,cc3_capped3,unweighted,1,0.03244519942751861,6,1.0,2.0,7,5,0.1,0.65
starter,cc3_capped3,unweighted,2,0.028014343142552006,0,0.8,5.0,7,4,0.04,0.8
starter,cc3_capped3,unweighted,3,0.027763754659424544,73,1.0,0.5,5,6,0.02,0.8
starter,cc3_capped3,unweighted,4,0.030538015591790972,0,0.65,1.0,7,5,0.02,0.8
starter,cc3_capped3,unweighted,5,0.03294336444534894,66,0.65,2.0,1,8,0.06,0.8
starter,cc3_capped3,unweighted,6,0.033344124035192366,14,0.65,5.0,1,3,0.04,1.0
