role,variant,imbalance_method,trial,val_pr_auc,best_iteration,subsample,reg_lambda,min_child_weight,max_depth,learning_rate,colsample_bytree
bullpen,baseline,weighted,1,0.03247764081240173,4,1.0,2.0,7,5,0.1,0.65
bullpen,baseline,weighted,2,0.03198940009859636,15,0.8,5.0,7,4,0.04,0.8
bullpen,baseline,weighted,3,0.03204656540343565,17,1.0,0.5,5,6,0.02,0.8
bullpen,baseline,weighted,4,0.030931687799578615,5,0.65,1.0,7,5,0.02,0.8
bullpen,baseline,weighted,5,0.03119981628302428,76,0.65,2.0,1,8,0.06,0.8
bullpen,baseline,weighted,6,0.031632453747931936,165,0.65,5.0,1,3,0.04,1.0
bullpen,cc3,weighted,1,0.029518988548707416,58,1.0,2.0,7,5,0.1,0.65
bullpen,cc3,weighted,2,0.030232172354100986,7,0.8,5.0,7,4,0.04,0.8
bullpen,cc3,weighted,3,0.031250033948272006,5,1.0,0.5,5,6,0.02,0.8
bullpen,cc3,weighted,4,0.033248347213589415,7,0.65,1.0,7,5,0.02,0.8
bullpen,cc3,weighted,5,0.03472697890434459,12,0.65,2.0,1,8,0.06,0.8
bullpen,cc3,weighted,6,0.030244384313835113,206,0.65,5.0,1,3,0.04,1.0
bullpen,cc5,weighted,1,0.030848563197345184,2,1.0,2.0,7,5,0.1,0.65
bullpen,cc5,weighted,2,0.031066821419003562,95,0.8,5.0,7,4,0.04,0.8
bullpen,cc5,weighted,3,0.029902509334422848,48,1.0,0.5,5,6,0.02,0.8
bullpen,cc5,weighted,4,0.03243325729200194,28,0.65,1.0,7,5,0.02,0.8
bullpen,cc5,weighted,5,0.03145824773742354,9,0.65,2.0,1,8,0.06,0.8
bullpen,cc5,weighted,6,0.029853935016890938,39,0.65,5.0,1,3,0.04,1.0
bullpen,cc3_capped3,weighted,1,0.028226673058897322,2,1.0,2.0,7,5,0.1,0.65
bullpen,cc3_capped3,weighted,2,0.03084648549394933,60,0.8,5.0,7,4,0.04,0.8
bullpen,cc3_capped3,weighted,3,0.03286769916604218,18,1.0,0.5,5,6,0.02,0.8
bullpen,cc3_capped3,weighted,4,0.02661015291967663,0,0.65,1.0,7,5,0.02,0.8
bullpen,cc3_capped3,weighted,5,0.03466920378998144,171,0.65,2.0,1,8,0.06,0.8
bullpen,cc3_capped3,weighted,6,0.03507350187930776,68,0.65,5.0,1,3,0.04,1.0
starter,baseline,weighted,1,0.04734424588622519,44,1.0,2.0,7,5,0.1,0.65
starter,baseline,weighted,2,0.0452578659722022,26,0.8,5.0,7,4,0.04,0.8
starter,baseline,weighted,3,0.05129133048869648,82,1.0,0.5,5,6,0.02,0.8
starter,baseline,weighted,4,0.048295415408737025,26,0.65,1.0,7,5,0.02,0.8
starter,baseline,weighted,5,0.03804706768239953,10,0.65,2.0,1,8,0.06,0.8
starter,baseline,weighted,6,0.03617415532464796,0,0.65,5.0,1,3,0.04,1.0
starter,cc3,weighted,1,0.0501625602949092,4,1.0,2.0,7,5,0.1,0.65
starter,cc3,weighted,2,0.043284008631058926,20,0.8,5.0,7,4,0.04,0.8
starter,cc3,weighted,3,0.04121513268195481,49,1.0,0.5,5,6,0.02,0.8
starter,cc3,weighted,4,0.04747995700715423,28,0.65,1.0,7,5,0.02,0.8
starter,cc3,weighted,5,0.03719942289367778,26,0.65,2.0,1,8,0.06,0.8
starter,cc3,weighted,6,0.04042200628870229,30,0.65,5.0,1,3,0.04,1.0
starter,cc5,weighted,1,0.039901053810299174,1,1.0,2.0,7,5,0.1,0.65
starter,cc5,weighted,2,0.04289079735706443,13,0.8,5.0,7,4,0.04,0.8
starter,cc5,weighted,3,0.04450870207433243,41,1.0,0.5,5,6,0.02,0.8
starter,cc5,weighted,4,0.0385081980545415,19,0.65,1.0,7,5,0.02,0.8
starter,cc5,weighted,5,0.040912176201628084,16,0.65,2.0,1,8,0.06,0.8
starter,cc5,weighted,6,0.03503274871184929,40,0.65,5.0,1,3,0.04,1.0
starter,cc3_capped3,weighted,1,0.03677650316496197,25,1.0,2.0,7,5,0.1,0.65
starter,cc3_capped3,weighted,2,0.03389351214301976,17,0.8,5.0,7,4,0.04,0.8
starter,cc3_capped3,weighted,3,0.03041201082810175,1,1.0,0.5,5,6,0.02,0.8
starter,cc3_capped3,weighted,4,0.03975236429069813,6,0.65,1.0,7,5,0.02,0.8
starter,cc3_capped3,weighted,5,0.032096120889434206,22,0.65,2.0,1,8,0.06,0.8
starter,cc3_capped3,weighted,6,0.030369529487574726,17,0.65,5.0,1,3,0.04,1.0
