role,variant,model,imbalance_method,split,threshold_type,threshold,n_train_before,n_train_after,train_positive_rate_after,evaluation_positive_rate,accuracy,roc_auc,pr_auc,f1,precision,recall,mcc,brier,predicted_positive_rate
bullpen,cc5,XGBoost,none,val,0.5,0.5,9048,9048,0.16666666666666666,0.02356209857833586,0.9764379014216641,0.5498483008695741,0.030918202615493787,0.0,0.0,0.0,0.0,0.043164465576410294,0.0
bullpen,cc5,XGBoost,none,val,validation_selected,0.22153609991073608,9048,9048,0.16666666666666666,0.02356209857833586,0.9094320560005773,0.5498483008695741,0.030918202615493787,0.06273338312173264,0.04148148148148148,0.12863705972434916,0.03316902192239179,0.043164465576410294,0.0730677635851916
bullpen,cc5,XGBoost,none,test,0.5,0.5,9048,9048,0.16666666666666666,0.02376547602106162,0.9762345239789384,0.5110269439255599,0.03251971021547678,0.0,0.0,0.0,0.0,0.04305005073547363,0.0
bullpen,cc5,XGBoost,none,test,validation_selected,0.22153609991073608,9048,9048,0.16666666666666666,0.02376547602106162,0.9090650348655187,0.5110269439255599,0.03251971021547678,0.03765060240963856,0.025150905432595575,0.0748502994011976,0.0025093177979388366,0.04305005073547363,0.07072719510459656
bullpen,cc5,XGBoost,class_weight,val,0.5,0.5,9048,9048,0.16666666666666666,0.02356209857833586,0.6767698636068413,0.5460187417310775,0.03243325729200194,0.054664415365132966,0.029355094639011675,0.39663093415007655,0.02610084695471352,0.2351914346218109,0.31835895215414595
bullpen,cc5,XGBoost,class_weight,val,validation_selected,0.5255538821220398,9048,9048,0.16666666666666666,0.02356209857833586,0.9181280219383705,0.5460187417310775,0.03243325729200194,0.07501019160211986,0.051111111111111114,0.14088820826952528,0.04786805300926883,0.2351914346218109,0.06494912318683697
bullpen,cc5,XGBoost,class_weight,test,0.5,0.5,9048,9048,0.16666666666666666,0.02376547602106162,0.6914757364451402,0.5327293845254099,0.0279317833814186,0.050788091068301226,0.0273972602739726,0.3473053892215569,0.015656309004681696,0.23478581011295319,0.30126654333285896
bullpen,cc5,XGBoost,class_weight,test,validation_selected,0.5255538821220398,9048,9048,0.16666666666666666,0.02376547602106162,0.9169275651060197,0.5327293845254099,0.0279317833814186,0.03948992184286302,0.027226318774815655,0.0718562874251497,0.005877715784203086,0.23478581011295319,0.06272235662444856
bullpen,cc5,XGBoost,smote,val,0.5,0.5,9048,15080,0.5,0.02356209857833586,0.9703038175651295,0.5394721346752585,0.030689328823975803,0.03290246768507638,0.0707070707070707,0.021439509954058193,0.026366108165845215,0.056503258645534515,0.007144403550552067
bullpen,cc5,XGBoost,smote,val,validation_selected,0.3043496310710907,9048,15080,0.5,0.02356209857833586,0.8676842029299271,0.5394721346752585,0.030689328823975803,0.06238813602659166,0.0374462860650706,0.18683001531393567,0.033409809402359075,0.056503258645534515,0.11755791296817493
bullpen,cc5,XGBoost,smote,test,0.5,0.5,9048,15080,0.5,0.02376547602106162,0.9729614344670556,0.5397598298301357,0.028506677525007813,0.01808785529715762,0.0660377358490566,0.010479041916167664,0.017075110877377397,0.05551790073513985,0.0037711683506475024
bullpen,cc5,XGBoost,smote,test,validation_selected,0.3043496310710907,9048,15080,0.5,0.02376547602106162,0.8711398889995731,0.5397598298301357,0.028506677525007813,0.049343832020997375,0.02991725015913431,0.1407185628742515,0.0143277715865619,0.05551790073513985,0.11178312224277785
bullpen,cc5,XGBoost,smotetomek,val,0.5,0.5,9048,15014,0.5,0.02356209857833586,0.966154290250415,0.5323937190736849,0.030625985937195392,0.032989690721649485,0.050473186119873815,0.02450229709035222,0.019084468815921272,0.05038262903690338,0.01143826225012629
bullpen,cc5,XGBoost,smotetomek,val,validation_selected,0.23733152449131012,9048,15014,0.5,0.02356209857833586,0.8023020855885112,0.5323937190736849,0.030625985937195392,0.05907607762321827,0.033268858800773696,0.26339969372128635,0.030646069826454618,0.05038262903690338,0.18654831493108176
bullpen,cc5,XGBoost,smotetomek,test,0.5,0.5,9048,15014,0.5,0.02376547602106162,0.9701864237939377,0.538018360145598,0.027746247053968942,0.01643192488262911,0.03804347826086957,0.010479041916167664,0.007609168523261528,0.047660328447818756,0.006546179023765476
bullpen,cc5,XGBoost,smotetomek,test,validation_selected,0.23733152449131012,9048,15014,0.5,0.02376547602106162,0.8174185285328021,0.538018360145598,0.027746247053968942,0.05243722304283604,0.02990732940185341,0.2125748502994012,0.018178918420851873,0.047660328447818756,0.1689198804610787
bullpen,cc5,XGBoost,smoteenn,val,0.5,0.5,9048,12605,0.575565251884173,0.02356209857833586,0.9459478963700657,0.531703542215582,0.031349769179668786,0.045859872611464965,0.03925845147219193,0.055130168453292494,0.01914304566113737,0.06270443648099899,0.03308796997907195
bullpen,cc5,XGBoost,smoteenn,val,validation_selected,0.3877851963043213,9048,12605,0.575565251884173,0.02356209857833586,0.8979577109042362,0.531703542215582,0.031349769179668786,0.06543291473892927,0.041719342604298354,0.15160796324655437,0.0366317466055622,0.06270443648099899,0.08562459406798008
bullpen,cc5,XGBoost,smoteenn,test,0.5,0.5,9048,12605,0.575565251884173,0.02376547602106162,0.9578056069446421,0.5543359981931182,0.02935161859582629,0.03577235772357724,0.03914590747330961,0.03293413173652695,0.014423048529534499,0.05723796412348747,0.019994307670414116
bullpen,cc5,XGBoost,smoteenn,test,validation_selected,0.3877851963043213,9048,12605,0.575565251884173,0.02376547602106162,0.9142948626725488,0.5543359981931182,0.02935161859582629,0.05194805194805195,0.03523758675920982,0.09880239520958084,0.020124326049154033,0.05723796412348747,0.06663583321474313
starter,cc5,XGBoost,none,val,0.5,0.5,3672,3672,0.16666666666666666,0.028985507246376812,0.9710144927536232,0.5627908061145495,0.047025995126197165,0.0,0.0,0.0,0.0,0.051339950412511826,0.0
starter,cc5,XGBoost,none,val,validation_selected,0.1734371781349182,3672,3672,0.16666666666666666,0.028985507246376812,0.5121168923734853,0.5627908061145495,0.047025995126197165,0.06637872243691748,0.03513838748495788,0.5983606557377049,0.036207871992449334,0.051339950412511826,0.49358517462580187
starter,cc5,XGBoost,none,test,0.5,0.5,3672,3672,0.16666666666666666,0.034056449731747145,0.9659435502682528,0.5368334695146761,0.03646356584474005,0.0,0.0,0.0,0.0,0.060607947409152985,0.0
starter,cc5,XGBoost,none,test,validation_selected,0.1734371781349182,3672,3672,0.16666666666666666,0.034056449731747145,0.3988803358992302,0.5368334695146761,0.03646356584474005,0.06664252082578775,0.03518164435946463,0.6301369863013698,0.007758357725664201,0.060607947409152985,0.6099836715651971
starter,cc5,XGBoost,class_weight,val,0.5,0.5,3672,3672,0.16666666666666666,0.028985507246376812,0.5797101449275363,0.5746288712310524,0.04450870207433243,0.06550449022715267,0.03500846979107849,0.5081967213114754,0.03059843989464647,0.22848691046237946,0.4207650273224044
starter,cc5,XGBoost,class_weight,val,validation_selected,0.5686012506484985,3672,3672,0.16666666666666666,0.028985507246376812,0.918151579947731,0.5746288712310524,0.04450870207433243,0.08255659121171771,0.0611439842209073,0.12704918032786885,0.048526665662985254,0.22848691046237946,0.06022808267997149
starter,cc5,XGBoost,class_weight,test,0.5,0.5,3672,3672,0.16666666666666666,0.034056449731747145,0.5100303242360625,0.5387473825063762,0.03649596140814403,0.0720123702231058,0.0384887839433294,0.5582191780821918,0.02414286593326245,0.24310573935508728,0.4939351527874971
starter,cc5,XGBoost,class_weight,test,validation_selected,0.5686012506484985,3672,3672,0.16666666666666666,0.034056449731747145,0.874037788663401,0.5387473825063762,0.03649596140814403,0.06086956521739131,0.04079254079254079,0.11986301369863013,0.012384541257394261,0.24310573935508728,0.1000699790062981
starter,cc5,XGBoost,smote,val,0.5,0.5,3672,6120,0.5,0.028985507246376812,0.9252791636968402,0.5716235404541389,0.040531478388619244,0.06814814814814815,0.05336426914153132,0.0942622950819672,0.03375632271076143,0.10605674237012863,0.05119980993110002
starter,cc5,XGBoost,smote,val,validation_selected,0.4764673113822937,3672,6120,0.5,0.028985507246376812,0.9087669280114041,0.5716235404541389,0.040531478388619244,0.08133971291866028,0.057432432432432436,0.13934426229508196,0.04663617826739795,0.10605674237012863,0.07032549299120931
starter,cc5,XGBoost,smote,test,0.5,0.5,3672,6120,0.5,0.034056449731747145,0.9029624445999533,0.5476193626713156,0.039061488345891335,0.045871559633027525,0.034482758620689655,0.0684931506849315,0.0006331123034604775,0.12047653645277023,0.06764637275484021
starter,cc5,XGBoost,smote,test,validation_selected,0.4764673113822937,3672,6120,0.5,0.034056449731747145,0.8830184278049918,0.5476193626713156,0.039061488345891335,0.04928909952606635,0.03407601572739188,0.08904109589041095,3.371594548512855e-05,0.12047653645277023,0.08898996967576393
starter,cc5,XGBoost,smotetomek,val,0.5,0.5,3672,6102,0.5,0.028985507246376812,0.47742931812782136,0.5422034880689272,0.04165277166673281,0.05943981184519991,0.03135574103316039,0.569672131147541,0.014901245810165423,0.2481665164232254,0.5266096459966738
starter,cc5,XGBoost,smotetomek,val,validation_selected,0.5013513565063477,3672,6102,0.5,0.028985507246376812,0.8997386552625327,0.5422034880689272,0.04165277166673281,0.06222222222222222,0.042682926829268296,0.11475409836065574,0.023735618414131233,0.2481665164232254,0.07792824899025896
starter,cc5,XGBoost,smotetomek,test,0.5,0.5,3672,6102,0.5,0.034056449731747145,0.4524142757172848,0.4966539086250756,0.03396002441358042,0.06567164179104477,0.03486160997253328,0.565068493150685,0.004927797581749529,0.2484550029039383,0.5520177280149289
starter,cc5,XGBoost,smotetomek,test,validation_selected,0.5013513565063477,3672,6102,0.5,0.034056449731747145,0.9007464427338465,0.4966539086250756,0.03396002441358042,0.040586245772266064,0.030252100840336135,0.06164383561643835,-0.005727815618039176,0.2484550029039383,0.06939584791229297
starter,cc5,XGBoost,smoteenn,val,0.5,0.5,3672,4955,0.5866801210898083,0.028985507246376812,0.8610121168923734,0.5749412371092669,0.041001364450264595,0.06698564593301436,0.041584158415841586,0.1721311475409836,0.027728791551086932,0.11621369421482086,0.11998099311000238
starter,cc5,XGBoost,smoteenn,val,validation_selected,0.4546368420124054,3672,4955,0.5866801210898083,0.028985507246376812,0.8209788548348776,0.5749412371092669,0.041001364450264595,0.07602697731453097,0.044700793078586876,0.2540983606557377,0.041605299969265305,0.11621369421482086,0.16476597766690426
starter,cc5,XGBoost,smoteenn,test,0.5,0.5,3672,4955,0.5866801210898083,0.034056449731747145,0.8213202705854911,0.5427391636590989,0.03690316421387678,0.06242350061199511,0.038002980625931444,0.17465753424657535,0.00937318084741603,0.14113971590995789,0.15651971075344062
starter,cc5,XGBoost,smoteenn,test,validation_selected,0.4546368420124054,3672,4955,0.5866801210898083,0.034056449731747145,0.7694191742477257,0.5427391636590989,0.03690316421387678,0.06347702510658455,0.036833424958768554,0.22945205479452055,0.00794511373793054,0.14113971590995789,0.21215302076043854
