role,feature_set,split,threshold_type,threshold,n_features,accuracy,roc_auc,pr_auc,f1,precision,recall,mcc,brier,predicted_positive_rate
bullpen,absolute_plus_delta,val,0.5,0.5,123,0.6113516634192105,0.54496457524102,0.032727796767834945,0.05159813330985295,0.027372944693572498,0.44869831546707506,0.019930261947277754,0.23001663386821747,0.3862307858843906
bullpen,absolute_plus_delta,val,validation_selected,0.5429328083992004,123,0.9170816193981381,0.54496457524102,0.032727796767834945,0.0748792270531401,0.05079191698525396,0.14241960183767227,0.047747684156910754,0.23001663386821747,0.06606769141949917
bullpen,absolute_plus_delta,test,0.5,0.5,123,0.6867795645367867,0.5505256160419685,0.027525949341156843,0.059602649006622516,0.032091097308488616,0.4176646706586826,0.03657788729172407,0.21928466856479645,0.30930695887291876
bullpen,absolute_plus_delta,test,validation_selected,0.5429328083992004,123,0.91995161519852,0.5505256160419685,0.027525949341156843,0.038461538461538464,0.026913875598086126,0.06736526946107785,0.005198281218739887,0.21928466856479645,0.05948484417247759
bullpen,delta_only,val,0.5,0.5,86,0.5770007938226167,0.5452958273104612,0.031781759071854376,0.04946079623773616,0.026113013698630137,0.4670750382848392,0.014353809931605106,0.24483881890773773,0.42144764379014216
bullpen,delta_only,val,validation_selected,0.5215474367141724,86,0.9432056000577326,0.5452958273104612,0.031781759071854376,0.066429418742586,0.05421103581800581,0.08575803981623277,0.03975897966129547,0.24483881890773773,0.03727358014000144
bullpen,delta_only,test,0.5,0.5,86,0.6687419951615199,0.5121866325657722,0.024701202604718774,0.048246959010528466,0.025891387822270982,0.3532934131736527,0.009668886344873876,0.24211478233337402,0.32428490109577346
bullpen,delta_only,test,validation_selected,0.5215474367141724,86,0.9388074569517575,0.5121866325657722,0.024701202604718774,0.02050113895216401,0.016544117647058824,0.02694610778443114,-0.009513500244768346,0.24211478233337402,0.038707841184004554
starter,absolute_plus_delta,val,0.5,0.5,116,0.8258493703967689,0.5550739148920808,0.052961895094942396,0.06979695431472081,0.04129129129129129,0.22540983606557377,0.03180222598485198,0.19416290521621704,0.15823235923022094
starter,absolute_plus_delta,val,validation_selected,0.5172526836395264,116,0.8821572820147303,0.5550739148920808,0.052961895094942396,0.08148148148148149,0.05263157894736842,0.18032786885245902,0.04680227265878025,0.19416290521621704,0.09931100023758613
starter,absolute_plus_delta,test,0.5,0.5,116,0.8374154420340565,0.49649656955338034,0.03340914522862048,0.05170068027210884,0.03225806451612903,0.13013698630136986,-0.003957139475828366,0.18768179416656494,0.13739211569862375
starter,absolute_plus_delta,test,validation_selected,0.5172526836395264,116,0.8846512712852811,0.49649656955338034,0.03340914522862048,0.044444444444444446,0.03095558546433378,0.07876712328767123,-0.005266147168087625,0.18768179416656494,0.08665733613249359
starter,delta_only,val,0.5,0.5,79,0.8775243525778095,0.5591339192240892,0.04508557199031636,0.0669683257918552,0.0429732868757259,0.15163934426229508,0.028143126174525916,0.1879604011774063,0.1022808267997149
starter,delta_only,val,validation_selected,0.472190260887146,79,0.7626514611546685,0.5591339192240892,0.04508557199031636,0.07756232686980609,0.043704474505723206,0.3442622950819672,0.04772299753356134,0.1879604011774063,0.22832026609645997
starter,delta_only,test,0.5,0.5,79,0.8889666433403313,0.5198145921341215,0.04114832485487226,0.05742574257425743,0.0403899721448468,0.09931506849315068,0.0105567743066644,0.18128156661987305,0.08374154420340564
starter,delta_only,test,validation_selected,0.472190260887146,79,0.8087240494518311,0.5198145921341215,0.04114832485487226,0.0639269406392694,0.038356164383561646,0.1917808219178082,0.010739487890794085,0.18128156661987305,0.1702822486587357
