role,feature_set,split,threshold_type,threshold,n_features,accuracy,roc_auc,pr_auc,f1,precision,recall,mcc,brier,predicted_positive_rate
bullpen,base,val,0.5,0.5,76,0.5844699429891029,0.548473917443507,0.03247764081240173,0.05155658046450338,0.027243450256767342,0.4793261868300153,0.020423340160362836,0.23664547502994537,0.41455582016309445
bullpen,base,val,validation_selected,0.5205001831054688,76,0.8389622573428592,0.548473917443507,0.03247764081240173,0.06651328174022171,0.038517441860465115,0.2434915773353752,0.041248654309743844,0.23664547502994537,0.14894998917514612
bullpen,base,test,0.5,0.5,76,0.602212893126512,0.5196642156648801,0.026025924064719957,0.048506510084248146,0.02571505909952179,0.42664670658682635,0.010327055550234984,0.2357807457447052,0.3943005550021346
bullpen,base,test,validation_selected,0.5205001831054688,76,0.855308097338836,0.5196642156648801,0.026025924064719957,0.044632370213765565,0.026469768737809974,0.14221556886227546,0.0067926417632927765,0.2357807457447052,0.12768606802333854
bullpen,base_delta,val,0.5,0.5,123,0.6113516634192105,0.54496457524102,0.032727796767834945,0.05159813330985295,0.027372944693572498,0.44869831546707506,0.019930261947277754,0.23001663386821747,0.3862307858843906
bullpen,base_delta,val,validation_selected,0.5429328083992004,123,0.9170816193981381,0.54496457524102,0.032727796767834945,0.0748792270531401,0.05079191698525396,0.14241960183767227,0.047747684156910754,0.23001663386821747,0.06606769141949917
bullpen,base_delta,test,0.5,0.5,123,0.6867795645367867,0.5505256160419685,0.027525949341156843,0.059602649006622516,0.032091097308488616,0.4176646706586826,0.03657788729172407,0.21928466856479645,0.30930695887291876
bullpen,base_delta,test,validation_selected,0.5429328083992004,123,0.91995161519852,0.5505256160419685,0.027525949341156843,0.038461538461538464,0.026913875598086126,0.06736526946107785,0.005198281218739887,0.21928466856479645,0.05948484417247759
bullpen,base_delta_runner_gap,val,0.5,0.5,130,0.5163816121815689,0.5532459335674781,0.035715902443472586,0.05071180678518308,0.026585474528442003,0.5482388973966309,0.01937783293256317,0.23905181884765625,0.4858916071299704
bullpen,base_delta_runner_gap,val,validation_selected,0.5255540609359741,130,0.9001948473695605,0.5532459335674781,0.035715902443472586,0.07118871725990597,0.04559139784946237,0.16232771822358347,0.043950119989060586,0.23905181884765625,0.08389261744966443
bullpen,base_delta_runner_gap,test,0.5,0.5,130,0.5451117119681229,0.5157256823815924,0.024458860985147046,0.046532438478747204,0.024485951969863445,0.46706586826347307,0.004307323927937589,0.23651862144470215,0.4533228973957592
bullpen,base_delta_runner_gap,test,validation_selected,0.5255540609359741,130,0.9073573359897538,0.5157256823815924,0.024458860985147046,0.03840472673559823,0.025490196078431372,0.07784431137724551,0.003167593926745978,0.23651862144470215,0.07257720222000853
starter,base,val,0.5,0.5,70,0.7386552625326681,0.5707691721451864,0.05129133048869648,0.06542056074766354,0.036492890995260666,0.3155737704918033,0.025880978548390582,0.19224980473518372,0.2506533618436683
starter,base,val,validation_selected,0.534063994884491,70,0.8342836778332146,0.5707691721451864,0.05129133048869648,0.07554671968190854,0.045059288537549404,0.2336065573770492,0.04029172828753134,0.19224980473518372,0.15027322404371585
starter,base,test,0.5,0.5,70,0.7063214369022627,0.5138559692086817,0.034926961712196836,0.0674074074074074,0.0377906976744186,0.3116438356164384,0.012866311801597037,0.20101970434188843,0.2808490786097504
starter,base,test,validation_selected,0.534063994884491,70,0.8021926755306741,0.5138559692086817,0.034926961712196836,0.0640176600441501,0.038157894736842106,0.19863013698630136,0.01049700488451106,0.20101970434188843,0.17728014928854677
starter,base_delta,val,0.5,0.5,116,0.8258493703967689,0.5550739148920808,0.052961895094942396,0.06979695431472081,0.04129129129129129,0.22540983606557377,0.03180222598485198,0.19416290521621704,0.15823235923022094
starter,base_delta,val,validation_selected,0.5172526836395264,116,0.8821572820147303,0.5550739148920808,0.052961895094942396,0.08148148148148149,0.05263157894736842,0.18032786885245902,0.04680227265878025,0.19416290521621704,0.09931100023758613
starter,base_delta,test,0.5,0.5,116,0.8374154420340565,0.49649656955338034,0.03340914522862048,0.05170068027210884,0.03225806451612903,0.13013698630136986,-0.003957139475828366,0.18768179416656494,0.13739211569862375
starter,base_delta,test,validation_selected,0.5172526836395264,116,0.8846512712852811,0.49649656955338034,0.03340914522862048,0.044444444444444446,0.03095558546433378,0.07876712328767123,-0.005266147168087625,0.18768179416656494,0.08665733613249359
starter,base_delta_runner_gap,val,0.5,0.5,123,0.7341411261582323,0.556636496367932,0.05117012678248485,0.06827643630308076,0.037998146431881374,0.3360655737704918,0.0315418549234355,0.22168409824371338,0.2563554288429556
starter,base_delta_runner_gap,val,validation_selected,0.5386114716529846,123,0.9208838203848895,0.556636496367932,0.05117012678248485,0.08011049723756906,0.06041666666666667,0.11885245901639344,0.0460704192412733,0.22168409824371338,0.05702066999287242
starter,base_delta_runner_gap,test,0.5,0.5,123,0.7469092605551668,0.49941819691491374,0.03615696490108548,0.05652173913043478,0.03237051792828685,0.2226027397260274,-0.005140387498244315,0.21451310813426971,0.23419640774434336
starter,base_delta_runner_gap,test,validation_selected,0.5386114716529846,123,0.906927921623513,0.49941819691491374,0.03615696490108548,0.05673758865248227,0.04332129963898917,0.0821917808219178,0.013425501784213674,0.21451310813426971,0.06461394914858876
