model,seed,split,threshold,n,positive_rate,accuracy,precision,recall,f1,roc_auc,pr_auc,delta_mode
logistic,100,validation,0.5,124,0.16129032258064516,0.7419354838709677,0.25,0.3,0.2727272727272727,0.5524038461538462,0.20294325010885184,official_full_period
logistic,100,test,0.5,124,0.16129032258064516,0.7661290322580645,0.2631578947368421,0.25,0.2564102564102564,0.5456730769230769,0.2725211845064046,official_full_period
logistic,200,validation,0.5,124,0.16129032258064516,0.7741935483870968,0.21428571428571427,0.15,0.17647058823529413,0.575,0.2702526249070272,official_full_period
logistic,200,test,0.5,124,0.16129032258064516,0.75,0.23809523809523808,0.25,0.24390243902439024,0.5918269230769231,0.26510035936461285,official_full_period
logistic,300,validation,0.5,124,0.16129032258064516,0.6854838709677419,0.14814814814814814,0.2,0.1702127659574468,0.5798076923076924,0.19119078920871102,official_full_period
logistic,300,test,0.5,124,0.16129032258064516,0.7338709677419355,0.21739130434782608,0.25,0.23255813953488372,0.51875,0.1971284924514973,official_full_period
logistic,400,validation,0.5,124,0.16129032258064516,0.717741935483871,0.17391304347826086,0.2,0.18604651162790697,0.5341346153846155,0.2670014312984138,official_full_period
logistic,400,test,0.5,124,0.16129032258064516,0.7258064516129032,0.23076923076923078,0.3,0.2608695652173913,0.6519230769230769,0.26093274819277446,official_full_period
logistic,500,validation,0.5,124,0.16129032258064516,0.7016129032258065,0.18518518518518517,0.25,0.2127659574468085,0.5740384615384615,0.204618354191652,official_full_period
logistic,500,test,0.5,124,0.16129032258064516,0.7096774193548387,0.1,0.1,0.1,0.5149038461538462,0.16333424685806916,official_full_period
logistic,600,validation,0.5,124,0.16129032258064516,0.75,0.13333333333333333,0.1,0.11428571428571428,0.5168269230769231,0.17903250242880647,official_full_period
logistic,600,test,0.5,124,0.16129032258064516,0.7419354838709677,0.125,0.1,0.1111111111111111,0.5028846153846154,0.16416198172092838,official_full_period
logistic,700,validation,0.5,124,0.16129032258064516,0.7338709677419355,0.11764705882352941,0.1,0.10810810810810811,0.6014423076923078,0.24575778226104716,official_full_period
logistic,700,test,0.5,124,0.16129032258064516,0.6854838709677419,0.12,0.15,0.13333333333333333,0.5125,0.16915576498018878,official_full_period
logistic,800,validation,0.5,124,0.16129032258064516,0.7661290322580645,0.23529411764705882,0.2,0.21621621621621623,0.5610576923076923,0.23738302363835903,official_full_period
logistic,800,test,0.5,124,0.16129032258064516,0.7258064516129032,0.15,0.15,0.15,0.5365384615384614,0.2249208213415006,official_full_period
logistic,900,validation,0.5,124,0.16129032258064516,0.7903225806451613,0.25,0.15,0.1875,0.58125,0.21504032008080518,official_full_period
logistic,900,test,0.5,124,0.16129032258064516,0.7903225806451613,0.25,0.15,0.1875,0.4850961538461539,0.20533986959219708,official_full_period
logistic,1000,validation,0.5,124,0.16129032258064516,0.7338709677419355,0.15789473684210525,0.15,0.15384615384615385,0.5230769230769231,0.21649902888384392,official_full_period
logistic,1000,test,0.5,124,0.16129032258064516,0.75,0.21052631578947367,0.2,0.20512820512820512,0.6216346153846153,0.2216446916772768,official_full_period
