model,seed,split,threshold,n,positive_rate,accuracy,precision,recall,f1,roc_auc,pr_auc,delta_mode
lstm,100,validation,0.5,124,0.1612903225806451,0.75,0.2608695652173913,0.3,0.2790697674418604,0.541826923076923,0.2300612646748985,official_full_period
lstm,100,test,0.5,124,0.1612903225806451,0.7580645161290323,0.2727272727272727,0.3,0.2857142857142857,0.5197115384615385,0.24782099196028,official_full_period
lstm,200,validation,0.5,124,0.1612903225806451,0.8064516129032258,0.25,0.1,0.1428571428571428,0.5528846153846154,0.2159772591500706,official_full_period
lstm,200,test,0.5,124,0.1612903225806451,0.782258064516129,0.2941176470588235,0.25,0.2702702702702703,0.6697115384615384,0.2989045069387721,official_full_period
lstm,300,validation,0.5,124,0.1612903225806451,0.7338709677419355,0.1176470588235294,0.1,0.1081081081081081,0.5326923076923077,0.1757905660410795,official_full_period
lstm,300,test,0.5,124,0.1612903225806451,0.7661290322580645,0.3043478260869565,0.35,0.3255813953488372,0.6514423076923077,0.3167852518611783,official_full_period
lstm,400,validation,0.5,124,0.1612903225806451,0.8387096774193549,0.0,0.0,0.0,0.6903846153846154,0.2990143184123584,official_full_period
lstm,400,test,0.5,124,0.1612903225806451,0.8387096774193549,0.0,0.0,0.0,0.766826923076923,0.4649225033178178,official_full_period
lstm,500,validation,0.5,124,0.1612903225806451,0.782258064516129,0.2666666666666666,0.2,0.2285714285714285,0.6052884615384615,0.2382200956664155,official_full_period
lstm,500,test,0.5,124,0.1612903225806451,0.75,0.1764705882352941,0.15,0.1621621621621621,0.5495192307692307,0.1920991113152975,official_full_period
lstm,600,validation,0.5,124,0.1612903225806451,0.8387096774193549,0.0,0.0,0.0,0.6000000000000001,0.2152177718760845,official_full_period
lstm,600,test,0.5,124,0.1612903225806451,0.8387096774193549,0.0,0.0,0.0,0.5322115384615385,0.1888214018351582,official_full_period
lstm,700,validation,0.5,124,0.1612903225806451,0.8548387096774194,1.0,0.1,0.1818181818181818,0.7124999999999999,0.3625791627428834,official_full_period
lstm,700,test,0.5,124,0.1612903225806451,0.7983870967741935,0.0,0.0,0.0,0.6375,0.2289423531510884,official_full_period
lstm,800,validation,0.5,124,0.1612903225806451,0.7983870967741935,0.1428571428571428,0.05,0.074074074074074,0.5072115384615384,0.2053950656802079,official_full_period
lstm,800,test,0.5,124,0.1612903225806451,0.8064516129032258,0.3333333333333333,0.2,0.25,0.5923076923076923,0.2317147854754239,official_full_period
lstm,900,validation,0.5,124,0.1612903225806451,0.7419354838709677,0.125,0.1,0.1111111111111111,0.6057692307692308,0.2310596028767572,official_full_period
lstm,900,test,0.5,124,0.1612903225806451,0.782258064516129,0.2666666666666666,0.2,0.2285714285714285,0.4533653846153846,0.207106608294714,official_full_period
lstm,1000,validation,0.5,124,0.1612903225806451,0.7096774193548387,0.1363636363636363,0.15,0.1428571428571428,0.5682692307692307,0.1893252196641926,official_full_period
lstm,1000,test,0.5,124,0.1612903225806451,0.7903225806451613,0.3333333333333333,0.3,0.3157894736842105,0.6471153846153846,0.3324156683366147,official_full_period
