model,seed,split,threshold,n,positive_rate,accuracy,precision,recall,f1,roc_auc,pr_auc,delta_mode
vit,100,validation,0.5,124,0.1612903225806451,0.7983870967741935,0.0,0.0,0.0,0.6572115384615385,0.2229303764954791,official_full_period
vit,100,test,0.5,124,0.1612903225806451,0.7903225806451613,0.3125,0.25,0.2777777777777778,0.5625,0.264543721002105,official_full_period
vit,200,validation,0.5,124,0.1612903225806451,0.8306451612903226,0.4,0.1,0.16,0.5307692307692308,0.2281637888530506,official_full_period
vit,200,test,0.5,124,0.1612903225806451,0.7903225806451613,0.0,0.0,0.0,0.5105769230769232,0.1604532282654234,official_full_period
vit,300,validation,0.5,124,0.1612903225806451,0.7983870967741935,0.3684210526315789,0.35,0.358974358974359,0.7067307692307693,0.3879929695433269,official_full_period
vit,300,test,0.5,124,0.1612903225806451,0.7338709677419355,0.1176470588235294,0.1,0.1081081081081081,0.6091346153846154,0.2136317067555345,official_full_period
vit,400,validation,0.5,124,0.1612903225806451,0.7983870967741935,0.2727272727272727,0.15,0.1935483870967742,0.61875,0.2415565158882837,official_full_period
vit,400,test,0.5,124,0.1612903225806451,0.75,0.2105263157894736,0.2,0.2051282051282051,0.6759615384615385,0.2882234925979234,official_full_period
vit,500,validation,0.5,124,0.1612903225806451,0.8387096774193549,0.5,0.2,0.2857142857142857,0.6153846153846154,0.30998114652304,official_full_period
vit,500,test,0.5,124,0.1612903225806451,0.7983870967741935,0.2222222222222222,0.1,0.1379310344827586,0.5759615384615384,0.2228491421016972,official_full_period
vit,600,validation,0.5,124,0.1612903225806451,0.7983870967741935,0.3076923076923077,0.2,0.2424242424242424,0.5384615384615384,0.2519195459392544,official_full_period
vit,600,test,0.5,124,0.1612903225806451,0.8387096774193549,0.5,0.15,0.2307692307692307,0.708173076923077,0.3116340132125631,official_full_period
vit,700,validation,0.5,124,0.1612903225806451,0.7419354838709677,0.2272727272727272,0.25,0.238095238095238,0.5971153846153846,0.3286780024601259,official_full_period
vit,700,test,0.5,124,0.1612903225806451,0.7741935483870968,0.2777777777777778,0.25,0.2631578947368421,0.5341346153846154,0.2305275341250488,official_full_period
vit,800,validation,0.5,124,0.1612903225806451,0.8467741935483871,0.6666666666666666,0.1,0.1739130434782608,0.6971153846153846,0.374666380459959,official_full_period
vit,800,test,0.5,124,0.1612903225806451,0.8548387096774194,0.75,0.15,0.25,0.6600961538461538,0.408143107529655,official_full_period
vit,900,validation,0.5,124,0.1612903225806451,0.7983870967741935,0.1428571428571428,0.05,0.074074074074074,0.6629807692307692,0.2721707518725224,official_full_period
vit,900,test,0.5,124,0.1612903225806451,0.8064516129032258,0.1666666666666666,0.05,0.0769230769230769,0.5557692307692308,0.203066847519919,official_full_period
vit,1000,validation,0.5,124,0.1612903225806451,0.8387096774193549,0.5,0.1,0.1666666666666666,0.6586538461538461,0.2995634850260602,official_full_period
vit,1000,test,0.5,124,0.1612903225806451,0.8225806451612904,0.3333333333333333,0.1,0.1538461538461538,0.5528846153846153,0.2184896466981824,official_full_period
