split,role,horizon_days,n_snapshots_total,n_labeled,n_censored,n_positive,n_negative,positive_rate,negative_to_positive_ratio,n_pitchers,n_positive_events
test,bullpen,30,15151,13738,1413,574,13164,0.041781918765468044,22.933797909407666,807,162
test,bullpen,60,15151,12529,2622,859,11670,0.06856093862239604,13.585564610011641,776,166
test,bullpen,100,15151,10947,4204,1042,9905,0.09518589567918151,9.505758157389636,737,162
test,starter,30,9520,8660,860,489,8171,0.056466512702078524,16.70961145194274,456,123
test,starter,60,9520,7863,1657,689,7174,0.08762558819788885,10.412191582002903,434,121
test,starter,100,9520,6891,2629,833,6058,0.12088231025975911,7.27250900360144,412,123
train,bullpen,30,41213,41213,0,1342,39871,0.032562540945818064,29.710134128166914,1434,374
train,bullpen,60,41213,41213,0,2145,39068,0.05204668429864363,18.213519813519813,1434,392
train,bullpen,100,41213,41213,0,2820,38393,0.06842501152548953,13.6145390070922,1434,402
train,starter,30,25622,25622,0,1090,24532,0.04254156584185466,22.506422018348623,776,262
train,starter,60,25622,25622,0,1680,23942,0.06556865193973929,14.251190476190477,776,268
train,starter,100,25622,25622,0,2176,23446,0.08492701584575756,10.774816176470589,776,274
validation,bullpen,30,15416,15416,0,597,14819,0.03872599896211728,24.822445561139027,877,161
validation,bullpen,60,15416,15416,0,927,14489,0.06013233004670472,15.629989212513484,877,166
validation,bullpen,100,15416,15416,0,1207,14209,0.0782952776336274,11.772162386081193,877,174
validation,starter,30,9510,9510,0,425,9085,0.04468980021030494,21.376470588235293,474,111
validation,starter,60,9510,9510,0,667,8843,0.07013669821240799,13.257871064467766,474,117
validation,starter,100,9510,9510,0,880,8630,0.09253417455310199,9.806818181818182,474,120
