feature,importance
days_since_last_arm_il,0.0034652578
lag45_n_pitches,0.0032103665
lag95_velo_CB,0.0026528398
lag95_usage_SL,0.0023637204
lag35_days_since_prev_game,0.0022807408
lag70_velo_CT,0.0021550667
lag80_usage_SI,0.0021050991
lag00_velo_SP,0.0019873546
lag85_days_since_prev_game,0.0019361885
lag80_velo_CH,0.00192061
lag40_velo_FB,0.0019119253
lag95_usage_SI,0.0018969952
lag60_spin_FB,0.001895114
lag95_days_since_prev_game,0.0018705776
lag10_usage_CH,0.0018623588
past_arm_il_count,0.0018593584
lag40_outs_recorded,0.0018367324
lag00_is_start,0.0018362685
lag95_spin_FB,0.0018353194
lag10_usage_SL,0.001806307
lag35_velo_CB,0.0018043694
lag60_velo_CT,0.0017988806
lag30_spin_SP,0.0017904463
lag85_velo,0.001779257
lag35_spin,0.0017766736
lag15_n_batters_faced,0.0017624188
lag45_usage_SI,0.0017424853
lag10_usage_CT,0.0017295892
lag30_usage_SI,0.0017279625
lag30_velo_FB,0.0017247966
lag05_spin_SP,0.0017214043
age,0.0017059859
lag50_spin_CT,0.0017034515
lag60_velo_SI,0.0016988793
lag65_usage_SP,0.0016838682
lag35_age,0.001669116
lag20_age,0.0016651603
lag75_days_since_prev_game,0.0016624008
lag95_age,0.00166036
lag85_velo_CH,0.0016549854
lag90_plate_x,0.0016544336
lag30_velo,0.0016448426
lag50_velo_FB,0.0016366361
lag85_spin_FB,0.0016330244
lag00_usage_SP,0.0016303995
lag45_age,0.0016249605
lag80_age,0.0016242117
lag45_n_batters_faced,0.0016009462
lag30_velo_CH,0.0015688146
lag00_velo_FB,0.0015611545
lag35_velo_FB,0.0015583998
lag45_spin_CH,0.0015571979
lag45_velo_CH,0.0015559661
lag55_plate_x,0.0015537944
lag00_days_since_prev_game,0.0015500444
lag40_velo_SP,0.0015482926
lag95_usage_CH,0.0015229846
lag85_age,0.0015218678
lag80_velo_SI,0.001520932
lag00_velo_SL,0.001520292
lag35_velo_CT,0.0015183603
lag85_usage_FB,0.0015154755
lag60_usage_FB,0.0015110979
lag20_velo_SL,0.0015066414
lag60_age,0.0014901836
lag00_plate_z,0.0014837184
lag00_age,0.0014793144
lag45_extension,0.0014761065
lag60_spin_CH,0.001475687
lag80_extension,0.0014756074
lag55_age,0.0014668341
lag65_velo_SI,0.0014641888
lag75_velo_SI,0.0014606535
lag45_days_since_prev_game,0.0014544099
lag95_spin,0.001453283
lag70_velo_CH,0.0014531406
lag40_age,0.0014460984
lag75_extension,0.0014435815
lag90_spin,0.0014416577
lag60_velo,0.0014348908
lag70_spin_FB,0.0014305213
lag20_velo_CB,0.0014168449
lag70_days_since_prev_game,0.0014101465
lag95_velo_CH,0.0014044074
lag90_usage_CH,0.0014013335
lag90_extension,0.0014004884
lag80_usage_CT,0.0013998311
